,recID,artistName,trackTitle,trackID,popularity,genre,danceability,valence,durationSec,popularity,longitude,latitude
1,878094,M83,0078h,4oBR1uJMuM2PDPRc1VZRi3,17,french,0.238999993,0.048,241.493,0.507115549,7.12123,43.58015
2,808626,Wild Cherry,1 2 3 Kind Of Love,1P6ByyDAzlfYnAPzyar4ds,16,disco,0.469999999,0.799,223.293,0.431602945,-80.63716,40.36959
3,1083399,Casey Jones,1 Out of 3 Has a STD,4Q9B4VNgTn4JkhowdYscdo,19,hardcore,0.273000002,0.296,114.547,0.439175894,-81.6558,30.33138
4,1070541,Metronomy,1 String Strung,0LzQAPwdu9t5u3IEOXcTgV,17,electro,0.851999998,0.575,163.333,0.496020316,-0.12714,51.50632
5,1046150,Len Barry,1/2/03,5t6q0AC5pTGxCnLSg3qu4i,21,soul,0.649999976,0.736,141.84,0.34620216,-75.16237,39.95227
6,1012294,Strawberry Switchblade,10 James Orr Street,45DQlWojmjeQssZQatjZ5t,10,goth,0.586000025,0.442,178.266,0.40267529,-4.24251,55.8578
7,1370505,Beach House,10 Mile Stereo,6V1Ha54suZAAoH9vuKznS6,43,indie-pop,0.238999993,0.309,303.853,0.537650625,-76.6096,39.29055
8,760231,Jim White,10 Miles To Go On A 9 Mile Road,0ueYoM1utDWth9XTLHcqW9,6,goth,0.714999974,0.76,285.88,0.406244475,-69.01249,45.26232
9,1072319,None More Black,10 Ton Jiggawatts,4mCiS4edQzIhsozVgwcJeZ,10,emo,0.479999989,0.512,162.387,0.4062419,-75.16237,39.95227
10,1091538,Bullet For My Valentine,10 Years Today,0D9tGX0mHfQtQZfpVcCAgP,32,metal,0.199000001,0.467,235.96,0.609481161,-3.57826,51.50883
11,650598,Canibus,100 Bars,4FBzlDdNlnQH03zCwNv3GZ,27,hardcore,0.661000013,0.367,298.133,0.488850184,-75.16237,39.95227
12,1401120,Sofa Surfers,100 Days,1LvCm4iHYfmitcatXHbn1D,16,trip-hop,0.555000007,0.41,272.827,0.474956409,16.3688,48.20254
13,811319,DJ Shadow,100 Metre Dash,5pTvnON4CgMMacpRGADMS0,23,electro,0.635999978,0.962,170.013,0.536828327,-122.08613,37.67119
14,1195504,Splitloop,100 Places,7pQO7OldIyiZrfQJfFqN7n,0,breakbeat,0.639999986,0.606,384.5,0.365566557,-6.24953,53.34376
15,394954,88 Fingers Louie,100 Proof,3FoQWvYblnMpgF1D62qcbS,53,hardcore,0.495999992,0.53,150.491,0.400251184,-87.63241,41.88415
16,1316768,Lymbyc Systym,1000 Arms,0zZIYr7bxWx4RMQx5k4R3G,37,rock,0.648999989,0.0374,169.013,0.431664883,-73.94888,40.65507
17,578912,The Unseen,1000 Miles,58DEdqWgRY7LwYEz9H2YsJ,12,ska,0.298000008,0.294,84.52,0.472175554,-70.87485,42.23679
18,869696,Ion Dissonance,1.01101E+15,6iRDApirpIqVcDAExKogTk,4,death-metal,0.317000002,0.309,154.293,0.512047264,-73.55439,45.51228
19,848541,Fred Eaglesmith,105,5MKaiJ5lgNC9qCPAPaPB1p,8,singer-songwriter,0.460000008,0.721,183.027,0.338314579,-98.30897,56.95468
20,639234,The Lawrence Arms,106 South,6uMIVNwtLvoA0pZNwYa7ca,9,emo,0.245000005,0.613,129.373,0.481930235,-87.63241,41.88415
21,736743,Incubus,11:00 AM,23Cr3klTV6cX5zuv8AySyI,52,alt-rock,0.469000012,0.297,253.427,0.579441938,-119.27023,37.27188
22,1054551,Ochre,111,2oAP4IpSO3NQTfau1KGjwb,19,ambient,0.619000018,0.222,468.5,0.46149775,-1.97406,52.88356
23,912536,Kathleen Edwards,12 Bellevue,30IgmuGJFevmfgepEleRcm,13,singer-songwriter,0.51700002,0.608,222.6,0.453981801,-75.69189,45.4215
24,1218870,October Tide,12 Day of Rain,4jOmwPqUQCw4lbyduoeF91,23,goth,0.259000003,0.333,403.427,0.500119937,18.06243,59.33217
25,764629,Necro,12 King Pimp Commandments,10VkYQPPrVQ6MkvLDJNTAg,15,hardcore,0.783999979,0.818,249.053,0.444315981,133.39311,-24.9162
26,993450,Eric Johnson,12 To 12 Vibe,4WLjCVbFHFver4VgGGbnqL,17,classical,0.270000011,0.811,141.547,0.467017781,-100.07715,31.1689
27,1053071,Jorge Drexler,12 segundos de oscuridad,2ECKXkpPAxky87ohawpaeD,35,afrobeat,0.606999993,0.0396,246.826,0.412069263,-56.16544,-34.8809
28,1286897,Oz Noy,120 Heart Beats,4X0BZzc3ZvPopaEap8cX1P,14,funk,0.731000006,0.791,417.28,0.36178482,-74.00712,40.71455
29,943341,Lil Rob,1218,4WIYwI0JtyaenCYLDqXtTH,17,funk,0.819000006,0.607,231.64,0.465804918,-100.07715,31.1689
